,kernel,C,coef0,gamma,form_length,dummy,home_rel,minmax,cv_acc_mean,cv_acc_ci,cv_prec_mean,cv_prec_ci,away_precision,away_recall,away_support,draw_precision,draw_recall,draw_support,home_precision,home_recall,home_support,ovr_acc,train_time
235,sigmoid,1.0,-1,auto,5,False,True,True,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,6.946305990219116
236,sigmoid,1.0,-1,auto,5,True,False,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,18.40314769744873
237,sigmoid,1.0,-1,auto,5,True,False,True,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,23.503642559051514
238,sigmoid,1.0,-1,auto,5,True,True,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,14.459293842315674
239,sigmoid,1.0,-1,auto,5,True,True,True,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,18.94274878501892
240,linear,1.0,1,scale,5,False,False,False,0.41886252546861524,0.01699653810081826,0.38385692621902207,0.023595368871250515,0.3938244853737812,0.3486810551558753,2085,0.2290748898678414,0.07530774800868936,1381,0.45295983086680763,0.6546982429335371,2618,0.418310322156476,93.46418309211731
241,linear,1.0,1,scale,5,False,False,True,0.436833034957265,0.017962519521811812,0.33310098008056965,0.015120130018660183,0.39978847170809095,0.36258992805755397,2085,0.0,0.0,1381,0.4538516575244455,0.726890756302521,2618,0.4370479947403024,9.619472742080688
242,linear,1.0,1,scale,5,False,True,False,0.42031606048574943,0.017233568890407645,0.39334172328031125,0.04006163954448409,0.3841028081865778,0.38705035971223023,2085,0.26223776223776224,0.05430847212165098,1381,0.4530700568028131,0.6398013750954927,2618,0.4202827087442472,48.53603529930115
243,linear,1.0,1,scale,5,False,True,True,0.4412982146397696,0.011671678266865845,0.33458124615573637,0.012322264528142822,0.4057877813504823,0.3026378896882494,2085,0.0,0.0,1381,0.45308015014351954,0.7838044308632544,2618,0.44099276791584485,4.652192115783691
244,linear,1.0,1,scale,5,True,False,False,0.3935903972837355,0.019334951788864956,0.36551202741572847,0.010870211203435414,0.35831889081455803,0.39664268585131895,2085,0.23481781376518218,0.08399710354815351,1381,0.4418037781840341,0.5538579067990833,2618,0.39332675871137407,86.15796041488647
245,linear,1.0,1,scale,5,True,False,True,0.4136967655646385,0.028473626327734095,0.36334540343924526,0.051007458089163106,0.3695198329853862,0.339568345323741,2085,0.26282051282051283,0.029688631426502535,1381,0.4411764705882353,0.6760886172650878,2618,0.41403681788297175,20.930307149887085
246,linear,1.0,1,scale,5,True,True,False,0.4022074302670163,0.02234838696055341,0.37444736451373384,0.02211953114631916,0.3583509513742072,0.3251798561151079,2085,0.25,0.09703113685734975,1381,0.4474835886214442,0.6249045072574484,2618,0.40236686390532544,58.45363688468933
247,linear,1.0,1,scale,5,True,True,True,0.41446951837594226,0.030881132124105662,0.36537535832789647,0.05356647718221818,0.37130339539978097,0.3251798561151079,2085,0.2582781456953642,0.028240405503258507,1381,0.4392500608716825,0.6890756302521008,2618,0.4143655489809336,16.858824253082275
248,rbf,1.0,1,scale,5,False,False,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,10.321716070175171
